Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
7699,61,1.0,39.68962407969543,20.98902999866805,7.0,4,14.0,1998,0.300322518,B,B,52,10311,6,,1,9,B
15771,23,3.0,105.59883863423885,,1.0,22,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
6256,37,2.0,48.2687257639134,29.769971301584377,6.0,6,9.0,1971,0.127811589,B,B,28,7287,5,320.0,1,3,B
10758,73,2.0,72.30896949540383,72.57668671318005,1.0,8,17.0,2014,0.042031587,B,B,37,6856,84,1940.0,2,5,B
14275,27,1.0,47.52711070587539,43.38756921064507,1.0,17,17.0,2017,0.072157581,B,B,2,629,1,,0,0,A
11746,66,2.0,42.30313816263457,27.327735130197315,5.0,4,5.0,1962,0.161975568,B,A,31,7010,5,4508.0,3,7,B
11360,27,3.0,80.73977136034544,44.30166613225831,11.0,5,17.0,2007,0.07542368,B,B,11,3097,0,,0,0,B
1542,31,3.0,56.47949652085394,38.1675114811581,6.0,2,9.0,1970,0.151346216,B,A,32,5889,10,830.0,4,1,B
4799,4,2.0,67.31385382276201,38.39385873477155,10.0,8,9.0,1963,0.327018035,B,B,12,2270,23,2500.0,1,0,B
13154,7,2.0,63.826394671980246,34.914982550379435,10.0,7,18.0,2010,0.130617806,B,B,39,10418,9,900.0,1,9,B
3497,67,2.0,47.27637789248446,30.73084165467667,5.0,10,9.0,1977,0.100455735,B,B,43,7227,0,,1,6,A
4024,83,1.0,39.99037017279849,23.636319786554107,8.0,15,17.0,1987,0.0077202819999999,B,B,38,4788,2,,0,4,B
12717,56,2.0,48.85211455499908,30.114412127526432,6.0,6,12.0,1971,0.035145267,B,B,42,9292,3,2620.0,0,3,B
12131,173,3.0,87.68829804565483,58.43903983554578,11.0,2,6.0,1937,0.081943463,B,B,20,2738,20,,1,4,B
